Date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
2021-03-06,44.6,49.3,60.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-03-05,41.2,52.7,67.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-03-04,27.9,51.8,72.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-03-03,33.1,52.0,73.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-03-02,25.2,43.2,65.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-03-01,18.3,34.2,55.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-28,31.5,48.0,64.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-27,28.0,44.4,66.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-26,22.3,36.0,56.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-25,18.7,30.9,47.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-24,34.5,44.3,69.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-23,30.7,50.8,73.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-22,27.7,40.6,64.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-21,32.9,38.1,48.2,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-20,22.3,33.2,53.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-19,7.9,22.4,40.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-18,2.1,15.5,28.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-17,0.0,9.9,23.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-16,-24.2,-8.0,10.6,No data.,No data.,0.07,No data.,No data.,No data.,No data.,No data.
2021-02-15,-11.2,-7.0,-0.8,No data.,No data.,0.06,No data.,No data.,No data.,No data.,No data.
2021-02-14,-4.0,1.9,6.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-13,-1.3,2.1,9.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-12,-1.3,4.1,12.4,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-11,8.6,11.8,15.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-10,8.6,10.9,15.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-09,5.2,8.0,15.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-08,5.2,6.5,9.1,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2021-02-07,4.3,7.2,15.3,No data.,No data.,0.04,No data.,No data.,No data.,No data.,No data.
2021-02-06,12.0,23.2,42.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-05,21.7,32.0,47.1,No data.,No data.,0.01,No data.,No data.,No data.,No data.,No data.
2021-02-04,28.8,40.7,59.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-03,33.8,44.5,63.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-02,23.7,33.4,50.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-02-01,17.1,27.0,39.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-31,31.1,33.2,38.1,No data.,No data.,0.11,No data.,No data.,No data.,No data.,No data.
2021-01-30,37.2,46.9,54.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-29,23.5,34.6,52.0,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-28,22.6,25.9,35.2,No data.,No data.,0.03,No data.,No data.,No data.,No data.,No data.
2021-01-27,19.6,21.8,26.2,No data.,No data.,0.10,No data.,No data.,No data.,No data.,No data.
2021-01-26,20.1,25.1,31.6,No data.,No data.,0.60,No data.,No data.,No data.,No data.,No data.
2021-01-25,31.3,33.6,37.0,No data.,No data.,0.03,No data.,No data.,No data.,No data.,No data.
2021-01-24,30.9,36.8,42.3,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-23,18.1,26.4,41.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-22,25.5,34.3,53.6,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-21,19.0,37.9,58.8,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-20,19.8,36.5,55.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-19,19.9,32.7,48.7,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-18,24.1,35.6,52.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-17,26.1,37.2,48.9,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-16,23.5,32.1,45.1,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
2021-01-15,31.1,35.7,45.5,No data.,No data.,0.00,No data.,No data.,No data.,No data.,No data.
